Year,,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
Period,,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь
Амурская область,Жилые здания,,,,,,,,,,,,,,,,,,,,,,,,,0.8,3.8,1.6,,0.3,,0.1,8.8,21.0,1.4,18.5,56.8
Амурская область,Жилые здания индивидуальные,,0.1,,0.1,,,0.5,,0.2,0.1,0.1,,,0.1,,,,,,,,0.3,,,0.8,,0.2,,,,0.1,,0.2,0.2,,0.3
Амурская область,Жилые здания индивидуальные блокированные,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Амурская область,Жилые здания многоквартирные,3.6,7.2,1.1,,0.9,7.8,2.9,16.0,9.2,25.4,14.9,53.2,4.9,1.5,15.7,1.1,0.7,2.9,9.6,1.2,7.7,15.0,14.6,9.9,,3.8,1.5,,0.3,,,8.8,20.8,1.2,18.5,56.2
Амурская область,Жилые здания многоквартирные малоэтажные блокированнные,,0.3,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,
Амурская область,"Жилые здания многоквартирные малоэтажные, состояшие из блок-секций",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Амурская область,"Жилые здания, в сельской местности (всего)",2.1,3.8,0.3,2.7,0.4,0.5,1.2,1.1,6.2,3.6,9.8,9.7,3.0,2.8,0.7,3.0,3.1,7.4,8.4,2.3,0.7,10.3,13.2,6.0,1.1,1.0,0.7,4.0,0.9,0.8,1.8,9.8,47.4,8.9,20.6,4.7
Амурская область,"Жилые здания, жилые помещения в нежилых зданиях и жилые дома, построенные населением",6.0,9.7,2.2,5.0,2.0,9.1,5.5,19.0,12.2,30.5,18.7,56.4,10.4,6.1,19.0,5.1,4.3,11.3,13.4,4.3,11.1,20.6,29.0,21.0,2.5,6.6,4.5,6.4,2.5,1.4,2.9,24.1,54.3,15.4,47.0,58.8
Амурская область,"Жилые здания,построенные в сельской местности",,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,0.1,,18.7,0.6,3.5,4.1
Амурская область,Общежития,,,,,,,,,,,0.6,,,,,,,2.6,,,,,,,,,,,,,,,,,,0.3
Амурская область,Отдельно стоящие здания жилого назначения квартирного типа,3.6,5.3,1.1,0.1,0.9,7.8,3.4,16.0,9.4,25.5,15.0,53.2,4.9,1.6,15.7,0.4,0.7,2.9,9.6,1.2,7.7,15.3,14.6,9.9,0.8,3.8,1.6,,0.3,,0.1,8.8,21.0,1.4,18.4,56.3
Амурская область,Отдельно стоящие здания жилого назначения квартирного типа в сельской местности,1.0,3.0,,0.1,,,0.4,,5.2,1.0,7.4,8.8,,0.1,,0.4,0.7,,7.1,1.2,,6.2,1.4,,0.6,,,,,,0.1,,18.7,0.6,3.4,4.1
Архангельская область,"Жилые дома в сельской местности,построенные населением",3.8,6.7,10.3,6.2,7.0,5.2,7.7,5.0,4.3,4.4,4.8,10.4,3.6,11.2,8.4,4.3,4.5,6.6,6.9,9.9,8.8,8.7,8.3,12.9,6.4,8.2,9.8,11.4,9.4,8.5,10.7,10.2,11.6,12.7,9.5,9.1
Архангельская область,"Жилые дома и общежития,построенные за счет бюджетов субъектов Российской и местных бюджетов",,,,,,,0.8,,,,,7.2,,,,,5.9,,7.4,,,1.8,18.0,1.6,,6.4,,3.0,,,,5.4,7.1,4.3,5.1,9.3
Архангельская область,Жилые дома коттеджного типа,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,
Архангельская область,"Жилые дома общежития,построенные за счет средств федерального бюджета",,,,,3.9,,,,6.4,,,,,,,,,,,,,,8.3,1.2,,,,,,,,8.9,,,,2.5
Архангельская область,"Жилые дома,построенные населением",7.1,11.0,15.3,9.0,11.9,8.5,12.2,7.8,7.8,7.7,8.5,15.7,5.6,17.2,14.6,7.9,7.6,11.2,10.9,13.6,14.2,14.2,15.2,19.7,12.1,11.6,17.8,19.2,14.0,14.1,19.0,17.3,16.3,19.3,17.9,12.9
Архангельская область,Жилые здания,,,,,,,,,,,,,,,,,,,,,,,,,26.6,10.2,15.0,15.3,4.7,22.9,8.9,31.5,19.4,31.9,16.8,45.7
Архангельская область,Жилые здания индивидуальные,,,,,,,,,,,,0.5,,0.6,,,0.9,0.2,,,,,,,,,,,,,,,,,,
Архангельская область,Жилые здания многоквартирные,,10.7,15.6,24.1,15.3,,19.5,,10.7,17.4,11.1,80.3,,,8.5,22.7,7.7,13.3,7.6,,12.9,14.3,68.6,64.5,26.6,10.2,15.0,15.3,4.7,22.9,8.9,25.1,19.4,31.9,16.8,45.7
Архангельская область,Жилые здания многоквартирные малоэтажные блокированнные,,0.9,,,,,,,,,,,,,,,0.6,1.9,,,,,,,,,,,,,,,,,,0.3
Архангельская область,"Жилые здания, в сельской местности (всего)",3.8,6.7,10.3,6.2,7.0,5.2,7.7,5.0,4.3,4.4,4.8,11.8,3.6,11.8,8.4,4.3,5.4,7.3,6.9,9.9,8.8,8.7,9.9,14.2,6.4,8.2,9.8,11.4,9.4,8.5,10.7,10.2,11.6,12.7,9.5,9.4
Архангельская область,"Жилые здания, жилые помещения в нежилых зданиях и жилые дома, построенные населением",7.1,21.7,30.9,33.1,31.2,8.5,31.7,7.8,18.5,25.1,19.6,96.4,5.6,17.8,23.0,30.6,16.1,24.7,18.5,13.6,27.1,28.5,83.8,84.2,38.7,21.9,32.7,34.5,18.7,37.0,27.8,48.8,35.8,51.3,34.6,58.6
Архангельская область,"Жилые здания,построенные в сельской местности",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3
Архангельская область,Общежития,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,,,,
