Year,,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021
Period,,I квартал,II квартал,III квартал,IV квартал,I квартал,II квартал,III квартал,IV квартал,I квартал,II квартал,III квартал,IV квартал,I квартал,II квартал,III квартал,IV квартал,I квартал,II квартал,III квартал,IV квартал,I квартал,II квартал,III квартал,IV квартал,I квартал,II квартал,III квартал,IV квартал,I квартал,II квартал,III квартал,IV квартал,I квартал,II квартал,III квартал,IV квартал,I квартал,II квартал,III квартал,IV квартал,I квартал,II квартал,III квартал,IV квартал,I квартал,II квартал,III квартал,IV квартал,I квартал,II квартал,III квартал,IV квартал,I квартал,II квартал,III квартал,IV квартал,I квартал,II квартал,III квартал,IV квартал,I квартал,II квартал,III квартал,IV квартал,I квартал,II квартал,III квартал,IV квартал,I квартал,II квартал,III квартал,IV квартал,I квартал,II квартал,III квартал,IV квартал,I квартал,II квартал,III квартал,IV квартал,I квартал,II квартал,III квартал,IV квартал,I квартал,II квартал,III квартал
Архангельская область (кроме Ненецкого автономного округа),Вторичный рынок жилья,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62595.38,61079.13,59961.6,57863.84,59776.88,62291.2,62986.51,62724.75,63176.3,63395.96,62800.54,60660.93,58549.86,58320.11,57654.53,57658.07,58657.92,58657.78,58445.8,58524.36,57698.13,58260.71,58092.18,59149.97,62144.54,61722.77,62364.16,62720.98,63460.71,64949.66,64426.64,67290.91,72685.86,73998.39,75984.37
Астраханская область,Первичный рынок жилья,0.0,0.0,0.0,0.0,5907.18,5994.62,5994.62,6297.64,7711.42,8266.15,8634.83,8755.07,9474.04,9910.65,10199.83,10293.21,10727.05,11038.89,11419.5,12120.31,12332.73,12758.15,13137.55,14506.85,15898.65,17033.46,17649.68,18363.45,19186.79,20606.27,24162.04,27111.92,31807.82,34048.75,36841.38,37255.6,40862.73,40876.32,39640.55,38495.49,31469.14,31493.06,32189.54,32240.37,33286.3,33604.64,33653.5,33687.41,32560.83,32485.5,33777.89,33846.31,34700.33,35225.25,35671.04,35955.12,36236.84,37000.12,37484.68,38891.13,41600.24,41635.69,40444.66,40946.56,41716.24,41647.05,40728.45,41451.3,41723.99,41981.96,41616.8,41290.71,41718.7,42325.24,42737.4,42636.26,44795.53,45675.94,46556.16,47990.87,53784.8,55235.39,56931.18,57914.24,66947.95,68493.51,73562.6
Астраханская область,Вторичный рынок жилья,4056.54,4097.88,4200.83,4762.54,4921.63,5083.5,5093.46,5329.51,6280.35,6528.78,6998.15,7127.98,8779.07,9061.09,9247.04,9531.43,9985.09,10203.02,10549.37,11029.58,11192.25,12143.15,12842.28,13780.86,14034.6,14693.51,16569.54,17370.74,18045.72,19315.7,23056.56,25651.45,30825.06,32985.95,33239.17,33175.21,34043.14,32192.49,31773.18,30915.18,28948.7,28949.48,29026.57,29406.53,27810.05,27885.03,27939.88,27939.88,32319.56,32584.86,33658.52,33611.48,34934.28,34985.3,36092.27,36314.68,38063.93,39133.55,39374.7,41255.6,44755.71,44744.96,44484.23,44365.47,43750.4,43710.94,43043.73,42798.46,36446.98,36513.77,35832.53,36857.63,34923.94,35049.61,35828.69,35977.61,39515.18,39035.43,39333.44,38962.55,42658.32,42755.79,43504.06,45406.74,46738.17,48452.95,50496.57
Белгородская область,Первичный рынок жилья,4703.04,5111.62,5073.87,5172.39,5590.1,5785.85,6061.97,6345.71,7219.28,7509.72,8558.77,9033.1,10141.05,10586.0,10977.08,11531.88,12408.09,12735.53,13024.15,13733.44,14288.96,15092.55,15467.54,15793.18,16851.3,19710.67,23356.87,25842.92,28545.53,29827.21,30837.15,32836.8,38993.11,40886.35,42195.38,43430.05,43220.36,42394.63,41818.59,41572.11,39389.34,39416.15,39571.9,39340.05,39169.25,39561.49,39806.4,40382.9,44463.97,45673.3,48070.19,48876.9,51219.75,52380.54,52686.18,52931.48,54086.65,54786.97,54038.95,54621.07,53377.29,52148.24,51101.64,50274.82,50412.11,50829.86,52217.62,51663.48,53264.17,52867.88,53137.58,52807.51,54109.83,53443.64,53332.0,53987.7,56140.27,56797.09,56978.95,57817.78,56697.39,57713.04,58987.09,60870.14,67606.47,70557.41,70018.19
Белгородская область,Вторичный рынок жилья,3615.43,3876.28,4731.57,4745.9,4885.14,5019.26,5607.01,5967.57,5958.05,6032.94,6617.56,6718.74,8641.2,8921.93,9407.67,9598.83,11027.21,11410.27,12076.32,12565.73,13278.71,13691.06,14341.09,14604.89,15975.85,18337.38,21272.49,23258.96,24965.75,27244.0,28605.08,30152.92,35006.43,37232.12,38382.98,38476.84,39353.86,37865.65,37013.86,36821.46,35260.28,35193.22,35511.19,35070.97,31363.59,31445.24,31903.6,32898.94,36688.85,37761.24,39580.76,41004.02,48896.28,48246.22,49183.72,49433.0,52471.21,52765.5,52701.05,52664.28,52510.97,51634.3,50972.62,50294.56,44568.52,44702.53,43854.55,44714.5,49841.64,49028.53,48932.17,48163.59,48759.17,47950.58,47612.16,48862.29,44592.6,44605.47,44215.41,44202.62,43626.87,43674.93,45828.69,49021.49,53503.09,57416.53,57862.36
Брянская область,Первичный рынок жилья,4562.08,4658.7,4561.84,4741.59,4525.17,4678.1,4741.83,5385.88,7669.15,7777.15,7998.36,8353.61,9683.14,9502.76,10396.31,11532.26,13052.63,12890.06,13766.24,13977.9,14106.18,14753.53,15022.82,14995.58,15619.81,15971.27,18072.26,19020.95,21712.38,23140.06,24931.29,25714.19,28505.38,31619.72,33309.51,31929.69,33829.74,32472.75,31843.35,29327.78,29438.17,31347.45,29351.94,29373.37,28444.73,28157.04,28634.28,29219.23,29196.25,31178.06,30717.26,31772.2,30879.37,30655.6,30965.43,31849.39,30268.4,31960.85,32148.46,32575.14,31994.97,31223.66,32150.58,32058.42,33646.28,33679.66,33337.06,33138.6,32403.29,32305.01,32256.37,32294.23,32884.55,32492.13,32690.32,33000.56,35512.52,35651.69,36548.52,36883.5,37645.29,38527.52,39770.25,41212.17,46284.16,47830.98,49894.16
Брянская область,Вторичный рынок жилья,3869.59,3885.73,3854.96,3796.19,3983.03,4276.41,4395.34,4871.38,7347.2,7734.7,7840.32,8916.32,9718.37,9897.5,9984.43,10866.51,12619.11,13097.84,13491.36,14041.08,14480.62,15998.32,16150.24,16285.12,16776.6,17127.22,18347.48,20664.2,22092.5,25183.59,28980.95,31101.25,35770.72,37409.84,38780.97,35588.02,34717.06,33772.83,32946.25,30912.64,30301.94,31575.49,32076.72,32308.48,28893.24,29196.68,29560.29,29610.67,31433.61,32146.96,32684.26,32947.3,35271.19,35530.63,34756.29,34943.86,40352.86,40938.33,41112.93,41058.27,32237.67,32298.16,32457.66,31645.48,41947.12,42974.97,41401.62,41302.92,39549.87,38449.77,37380.04,36063.15,35032.6,35114.75,34487.77,34156.21,32910.7,33607.88,33875.55,34381.58,34963.76,34737.38,35276.76,36274.28,37975.21,38304.05,38461.54
Владимирская область,Первичный рынок жилья,4641.23,4797.16,4850.34,5455.16,5529.87,5955.57,6421.14,7218.27,7813.65,8622.96,8944.18,9439.45,9896.33,11127.6,12205.5,13250.35,13607.63,14716.23,15504.31,16147.77,16722.58,16807.09,17304.16,18053.74,19673.21,21808.19,26129.31,29513.76,28351.35,30422.9,33991.24,35767.72,38079.76,39885.83,41753.37,41260.23,40448.94,37664.0,36223.04,36558.71,37261.51,36996.2,35727.18,36777.6,37014.96,37452.93,36740.59,38647.53,39311.75,39587.87,38999.04,39182.43,38799.81,38485.04,38572.06,39200.24,39341.78,40495.62,40407.19,40796.77,40882.09,40075.34,39271.46,38670.92,38046.57,37133.5,35674.35,35432.38,35165.87,35022.08,34954.94,35419.65,33908.05,34032.4,33790.56,34379.47,35221.51,35185.69,35309.93,35524.33,38794.81,40300.05,41292.2,42874.89,44798.79,48580.63,51177.61
Владимирская область,Вторичный рынок жилья,4343.81,4360.74,4330.7,4664.93,5175.1,5520.93,6010.87,7019.84,7671.79,8186.53,8555.16,9337.42,9588.11,9887.13,10155.96,10935.39,12741.25,13952.96,14399.86,14746.79,14857.81,15151.56,15505.9,16522.34,18780.25,20956.83,23591.65,27383.06,27001.94,28534.43,30829.54,33064.44,39154.19,40519.94,42196.29,40025.59,38125.81,34808.22,33747.39,33985.72,35547.79,35023.22,34039.34,34974.39,33900.17,34377.06,35157.05,35800.37,38430.32,39347.27,40562.89,40587.85,42668.64,43918.23,44750.16,44474.9,43414.89,43924.39,44503.39,45391.55,44891.49,44530.06,44412.26,43602.44,44373.66,43349.69,42156.64,41765.97,40364.95,40857.03,41451.01,42034.75,40974.71,41178.62,42590.38,43365.72,42546.17,42846.78,42954.05,43063.71,43153.26,42349.68,43224.33,44295.37,48438.5,54992.89,59574.4
Волго-Вятский район,Первичный рынок жилья,6261.14,6369.94,6380.5,6908.69,7349.03,7836.17,8313.4,9275.57,9376.48,9981.71,10282.89,10818.91,11465.38,11855.62,12320.65,12759.91,13353.08,14072.99,15147.96,16062.58,16624.05,17054.59,17791.51,18714.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
